,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic,age
687,johnny mathis,when i fall in love,1959,pop,fall forever fall restless world like end begin moonlight kiss cool warmth heart completely heart moment feel feel fall moment feel feel fall,23,0.002506266,0.002506266,0.17960483,0.002506266,0.002506266,0.002506266,0.066227889,0.002506266,0.002506266,0.002506266,0.002506266,0.093990747,0.002506266,0.002506266,0.405637031,0.170746335,0.296003466,0.473476399,0.987951795,0.053947368,0.118920033,0.146119478,sadness,0.871428571
689,the platters,i'll never smile again,1959,pop,smile smile laugh good tear eye heart realize romance thrill somebody heart know start smile smile,16,0.003095975,0.003095975,0.003095975,0.003095975,0.003095975,0.003095975,0.178136613,0.003095975,0.003095975,0.003095975,0.003095975,0.003095975,0.003095975,0.003095975,0.648154171,0.124173612,0.132459656,0.563213086,0.97590359,0.022267206,0.182811212,0.176150446,sadness,0.871428571
690,connie francis,mama,1959,pop,even shadow fall lovely long recall years spend mama miss days near guide mama days safe glow send heavens replace warmth tender embrace mama live memories,26,0.002631579,0.002631579,0.380041642,0.002631579,0.002631579,0.190565331,0.088805586,0.002631579,0.002631579,0.002631579,0.002631579,0.224538872,0.03730497,0.002631579,0.002631579,0.044533072,0.226686884,0.626541548,0.903614361,0.0001083,0.091096455,0.208183479,world/life,0.871428571
691,ritchie valens,rockin' all night,1959,pop,little baby goin tonight little girlie whoo whoo whoo little mama little girl leave little girlie gonna night little baby hold tight gotta hold night little girl hold real tight kiss kiss night little girl hold tight kiss kiss baby kiss fine lips taste taste like wine little girl gonna night want fine baby kiss lips like wine stop little baby little baby baby,64,0.131426677,0.000877193,0.000877193,0.072156929,0.000877193,0.21845906,0.323532089,0.000877193,0.000877193,0.000877193,0.000877193,0.000877193,0.000877193,0.148982354,0.000877193,0.010260316,0.526697715,0.69881804,0.846385388,0.001578947,0.770197857,0.747739869,romantic,0.871428571
693,dion & the belmonts,i got the blues,1959,pop,tell story blue girl go break heart blue baby blue yeah take money leave blue yeah forget blue whoa leave cry deny blue goodbye yeah friends hear news suffer blue apart know know guess break heart blue blue nighttime start like daytime break blue tell take piece baby cure blue yeah blue blue time baby time anymore kiss kiss tender lips time lose blue lose blue yeah baby go know miss fade,72,0.068669112,0.000785546,0.000785546,0.021293326,0.093554574,0.000785546,0.07183755,0.129126106,0.020753576,0.304569959,0.000785546,0.000785546,0.000785546,0.022496727,0.259843609,0.000785546,0.522365428,0.791323744,0.758031886,0,0.547609233,0.627615998,music,0.871428571
695,bobby darin,through a long and sleepless night,1959,pop,long sleepless night whisper long sleepless night blame help wonder lonely toss loss wish heart leave memories redream relive joy know pray someday light till dark silence heart replace long sleepless night,32,0.002192982,0.002192983,0.002192983,0.30634892,0.002192982,0.079253911,0.002192983,0.002192983,0.002192982,0.002192983,0.002192982,0.127646433,0.002192982,0.002192982,0.453855997,0.002192982,0.214773097,0.273081558,0.611445393,0.043724696,0.135408079,0.06643731,sadness,0.871428571
698,ricky nelson,sweeter than you,1959,pop,love sweeter belong sweeter stand long desire love eternally mean forever true long live life love sweeter belong sweeter,19,0.003508772,0.003508772,0.393495522,0.003508773,0.003508772,0.003508772,0.546855353,0.003508772,0.003508772,0.003508772,0.003508772,0.003508772,0.003508772,0.003508772,0.003508772,0.003508772,0.355572403,0.521293234,0.765060005,2.38E-05,0.186933223,0.162135995,romantic,0.871428571
700,dion & the belmonts,no one knows,1959,pop,know tear cry smile pose heart break know friends learn truth want sympathy party dance show know maybe time walk hear prayer loneliness fade away darling tell stay pass hurt grow feel better know,34,0.001697793,0.001697793,0.001697793,0.001697793,0.001697793,0.001697793,0.037434593,0.465273887,0.049481177,0.001697793,0.001697793,0.046226863,0.001697793,0.001697793,0.377814379,0.001697793,0.370735406,0.693844063,0.829317098,0.004868421,0.143652102,0.316294963,sadness,0.871428571
704,connie francis,non dimenticar,1959,pop,dimenticar mean forget heart darling forget mean dimenticar like darling shin bright clear forget lips hold tight dear dream heart felt glow tonight dear dimenticar travel darling heart dimenticar separò allontanò destino colpa sentirò sempre vicino dimenticar voluto tanto bene forse cuor puoi trovare ancor tanto tanto amor,48,0.002024292,0.002024292,0.191848336,0.041428339,0.002024291,0.002024291,0.536755125,0.002024292,0.002024292,0.002024292,0.002024292,0.199603826,0.002024292,0.002024292,0.002024292,0.002024292,0.272175891,0.584390944,0.807228722,4.19E-06,0.161170651,0.136109156,romantic,0.871428571
705,the byrds,turn! turn! turn! (to everything there is a season),1959,pop,turn turn turn season turn turn turn time purpose heaven time bear time time plant time reap time kill time heal time laugh time weep turn turn turn season turn turn turn time purpose heaven time build time break time dance time mourn time cast away stone time gather stone turn turn turn season turn turn turn time purpose heaven time time hate time time peace time embrace time refrain embrace turn turn turn season turn turn turn time purpose heaven time gain time lose time rend time time time hate time peace swear late,95,0.000683527,0.106944191,0.000683527,0.456091652,0.000683527,0.000683527,0.000683527,0.000683527,0.000683527,0.000683527,0.000683527,0.37950134,0.047209912,0.000683527,0.000683527,0.000683527,0.437885844,0.654231726,0.117468993,3.41E-06,0.758862325,0.746738837,night/time,0.871428571
712,simon & garfunkel,mrs. robinson,1959,pop,love know bless heaven hold place pray like know little file like help learn help look sympathetic eye stroll ground feel home love know bless heaven hold place pray hide hide place go pantry cupcakes little secret robinsons affair hide kid cachoo love know bless heaven hold place pray sit sofa sunday afternoon go candidates debate laugh shout choose look lose go dimaggio nation turn lonely eye joltin leave go away,71,0.00093985,0.00093985,0.00093985,0.00093985,0.00093985,0.14975907,0.12406746,0.089196593,0.00093985,0.00093985,0.00093985,0.00093985,0.148659364,0.059900958,0.336296749,0.08084161,0.586266652,0.531882163,0.783132312,2.09E-05,0.812448475,0.426408512,sadness,0.871428571
715,the brothers four,yellow bird,1959,pop,yellow high banana tree yellow like lady friend leave nest make feel away away pretty girl today pretty girls tenderness away yellow yellow lady friend leave nest make feel away away wish yellow away yellow yellow yellow,37,0.084497509,0.002024292,0.002024292,0.002024292,0.002024291,0.002024292,0.002024292,0.086695274,0.002024292,0.002024292,0.002024292,0.088244868,0.002024292,0.289719662,0.422502605,0.002024292,0.354489332,0.497936056,0.787148381,0,0.463107997,0.258235092,sadness,0.871428571
716,ritchie valens,stay beside me,1959,pop,stay stay feel blue look darling stay help guide leave trust proud heart strong come belong stay close know mean true forever,22,0.002392345,0.002392345,0.002392345,0.002392345,0.002392345,0.002392345,0.093211917,0.274076521,0.002392345,0.070857804,0.002392345,0.002392345,0.002392345,0.002392345,0.477496589,0.002392345,0.458464204,0.514421968,0.710843083,0,0.494023083,0.192166963,sadness,0.871428571
717,dion & the belmonts,just you,1959,pop,careful stone throw tongue accuse news gossip cheap looow mistake life careful stone throw speak neighbor passin garden time stop know right away gossip flower mind hear neighbor know girl street midst drink talk know speak child neighbor smile think tongue accuse news gossip cheap looow mistake life careful stone throw speak speed screamin brakesa sound blood chill neighbor child pull path save girl lyin child unhurt neighbor cry brave girl sweet cover crush break body say girl live street mistake life careful stone throw,85,0.000923361,0.367735669,0.092700584,0.000923361,0.000923361,0.000923361,0.000923361,0.119624252,0.000923361,0.054322741,0.114473665,0.000923361,0.056272649,0.107011326,0.063754025,0.000923361,0.409725983,0.693767146,0.817268893,0,0.420857378,0.401382706,violence,0.871428571
720,neil sedaka,you mean everything to me,1959,pop,answer lonely prayer lonely till come wonder know live life destiny darling mean away lonely tear shine teardrops hold close darling mean mean hold close darling mean,27,0.002105263,0.002105263,0.142932944,0.002105263,0.002105263,0.002105263,0.355433547,0.209968702,0.002105263,0.002105263,0.002105263,0.0578262,0.002105263,0.002105263,0.204364922,0.002105263,0.338243258,0.714201472,0.525099925,0,0.675391591,0.429411609,romantic,0.871428571
722,fats domino,i'm walkin',1959,pop,walkin talkin hopin come yeahyeah lonely waitin company hopin come gonna run gonna away hide gonna right pretty baby walkin talkin hopin come walkin talkin hopin come mmmm lonely waitin company hopin come gonna run gonna right gonna byebye gonna walkin talkin hopin come,44,0.267133849,0.001547988,0.001547988,0.001547988,0.001547988,0.001547988,0.001547988,0.001547988,0.319338299,0.001547988,0.001547988,0.001547988,0.001547988,0.001547988,0.130215935,0.001547988,0.637171017,0.706279004,0.613453427,0.056680162,0.977328937,0.890887483,obscene,0.871428571
724,jackie wilson,lonely teardrops,1959,pop,shooby shooby shooby heart cryin cryin lonely teardrops pillow lonely teardrops come home come home heart cryin cryin lonely teardrops pillow lonely teardrops come home come home romance come tell return cause everyday go away know heart burn cry lonely teardrops pillow lonely teardrops come home come home right baby come come darling yeah,54,0.377047714,0.001349528,0.001349528,0.001349528,0.032502733,0.001349528,0.051136335,0.001349528,0.001349528,0.16577392,0.001349528,0.001349528,0.001349528,0.001349528,0.35464591,0.001349528,0.500703997,0.686177986,0.407629927,0,0.844394064,0.47846219,sadness,0.871428571
726,neil sedaka,oh! carol,1959,pop,fool darling treat cruel hurt leave surely darling cause leave want sweetheart matter fool darling treat cruel hurt leave surely darling cause leave want sweetheart matter,26,0.002506266,0.002506266,0.002506266,0.002506266,0.002506266,0.002506266,0.226331359,0.262536133,0.002506266,0.002506266,0.002506266,0.002506266,0.002506266,0.002506266,0.344710661,0.002506266,0.721650601,0.831295029,0.632529752,3.60E-05,0.970115416,0.73472645,sadness,0.871428571
728,ricky nelson,lonesome town,1959,pop,place lovers trouble away lonesome break hearts stay dream years heart tear goin lonesome break hearts stay goin lonesome trouble away break dream streets fill regret maybe lonesome learn forget maybe lonesome learn forget,34,0.001503759,0.001503759,0.133114755,0.001503759,0.001503759,0.069545274,0.001503759,0.00150376,0.001503759,0.177343847,0.001503759,0.001503759,0.052409909,0.001503759,0.546533583,0.001503759,0.484457923,0.59208266,0.809236756,6.13E-05,0.284830998,0.184158704,sadness,0.871428571
729,fats domino,blueberry hill,1959,pop,thrill blueberry blueberry moon stand blueberry linger dream come true wind play sweet vow apart thrill blueberry wind play sweet vow apart thrill blueberry,24,0.003095976,0.003095975,0.003095975,0.003095975,0.003095975,0.003095975,0.405173982,0.003095975,0.003095975,0.210491815,0.003095975,0.187344357,0.003095975,0.003095975,0.150550217,0.003095975,0.462796491,0.665461631,0.742971629,0.000238866,0.829967024,0.499483868,romantic,0.871428571
733,fats domino,ain't that a shame,1959,pop,say goodbye shame tear fell like rain shame blame break heart say shame tear fell like rain shame blame goodbye shame,21,0.002392345,0.002392345,0.002392345,0.002392344,0.002392345,0.002392345,0.102730728,0.124797294,0.002392345,0.002392345,0.002392345,0.002392345,0.002392345,0.063191293,0.596834552,0.002392345,0.459547276,0.69448504,0.77008009,7.69E-05,0.94641385,0.501485932,sadness,0.871428571
735,the platters,smoke gets in your eyes,1959,pop,ask know true true course reply inside deny say blind heart realize smoke get eye chaff gaily laugh think doubt today fly away laugh friends deride tear hide hide smile lovely flame die smoke get eye smoke get eye smoke get eye smoke get eye,45,0.001315789,0.00131579,0.00131579,0.001315789,0.001315789,0.001315789,0.032453915,0.252463427,0.163344978,0.001315789,0.00131579,0.143834178,0.001315789,0.00131579,0.38948245,0.001315789,0.153038016,0.628208087,0.923694703,2.07E-06,0.269373454,0.295273286,sadness,0.871428571
737,dion & the belmonts,a teenager in love,1959,pop,time quarrel break heart cause afraid night star teenager feel feel guess learn good cause night star teenager cry tear lonely want hard goodbye love night star teenager cry tear lonely want hard goodbye love night star teenager teenager teenager teenager,41,0.001547988,0.001547988,0.001547988,0.118048488,0.001547988,0.001547988,0.136465584,0.001547988,0.001547988,0.001547988,0.001547988,0.135845022,0.001547988,0.001547988,0.447730233,0.070249601,0.534279216,0.680306643,0.673694452,0,0.613561418,0.377357931,sadness,0.871428571
738,ritchie valens,we belong together,1959,pop,belong belong eternity lips belong lyric commercial,7,0.007518797,0.007518797,0.007518797,0.007518797,0.007518797,0.007518797,0.16971372,0.007518797,0.007518797,0.416752445,0.007518797,0.007518797,0.007518797,0.007518797,0.007518797,0.007518797,0.673995451,0.562700305,0.875501883,0.000168016,0.767106348,0.247223737,music,0.871428571
741,connie francis,winter wonderland,1959,pop,sleigh bell ring listen snow glisten beautiful sight tonight walk winter wonderland go away bluebird stay newbird sing song go walk winter wonderland meadow build snowman pretend parson later conspire dream face frame vow walk winter wonderland string meadow build snowman walk winter wonderland,44,0.001879699,0.001879699,0.001879699,0.071365119,0.001879699,0.001879699,0.001879699,0.001879699,0.001879699,0.399143782,0.13978446,0.001879699,0.001879699,0.043616719,0.319774129,0.001879699,0.479042565,0.613875856,0.639557871,1.41E-06,0.359027205,0.220195866,music,0.871428571
746,ritchie valens,paddiwack song,1959,pop,play play knickknack thumb knick knack paddiwack bone come home play play knickknack shoe knick knack paddiwack bone come home play play knickknack door knick knack paddiwack bone come home instrumental play play knickknack jive knick knack paddiwack bone come home play play knickknack stick knick knack paddiwack bone come home play play knickknack heaven knick knack paddiwack bone come home play play knickknack gate knick knack paddiwack bone come home,71,0.105038687,0.262785878,0.001315789,0.001315789,0.001315789,0.001315789,0.001315789,0.001315789,0.00131579,0.611122803,0.00131579,0.00131579,0.00131579,0.001315789,0.001315789,0.001315789,0.518033142,0.718611389,0.841365303,1.66E-06,0.881492168,0.914912258,music,0.871428571
759,esquivel!,boulevard of broken dreams,1959,pop,walk street sorrow boulevard break dream gigolo gigolette kiss regret forget break dream laugh tonight tomorrow behold shatter scheme gigolo gigolette eye tear tell break dream walk leave soul cathedral borrow long gigolo gigolette sing song dance boulevard break dream borrow long gigolo gigolette sing song dance boulevard break dream,50,0.001547988,0.001547988,0.001547988,0.105839759,0.001547988,0.001547988,0.049551424,0.001547988,0.001547988,0.148474853,0.001547988,0.189350513,0.001547988,0.001547988,0.485111623,0.001547988,0.762807322,0.704381714,0.821284961,0.00805668,0.821723001,0.60659432,sadness,0.871428571
760,ricky nelson,it's late,1959,pop,late late gotta home late late go long shoulda check time phone phone spend dime late late bout outta late late gotta home fast speed speed slowdown zone baby look clock wrong coulda leave home quarter woulda plenty time start little late date look look moon look like late late hate face know gonna late late gotta home late late go long late late bout outta late late gotta home fast speed speed slowdown zone baby look clock wrong coulda leave home quarter woulda plenty time start little late date look look moon look like late late hate face know gonna late late gotta home late late go long late,110,0.028408344,0.000572082,0.000572082,0.473143621,0.000572082,0.026887242,0.000572082,0.000572082,0.118127008,0.085573106,0.000572082,0.026485995,0.000572082,0.122032349,0.000572082,0.028102485,0.59818044,0.706022614,0.790160432,0,0.866034625,0.789783224,night/time,0.871428571
761,bobby darin,i'll remember april,1959,pop,lovely lengthen even sigh goodbye walk remember content love lips warm spring afraid autumn sorrow remember dwindle glow ash flame live little forget lonely remember smile,26,0.002392345,0.002392345,0.271447849,0.002392345,0.002392345,0.048427252,0.322101042,0.002392345,0.002392344,0.06904882,0.002392345,0.138348464,0.002392345,0.002392345,0.119526094,0.002392345,0.403227553,0.570315104,0.820280944,0,0.598103875,0.336315609,romantic,0.871428571
766,ritchie valens,my darling is gone,1959,pop,darling go disc valens valens delfi october posthumously release demo edit overdubs keane home record vocal guitar ohooh ohooh ohooh ohooh ohooh ohooh darlin go leave know cause miss nights lonely cry cause darlin go know leave cause darlin nights lonely cry night long cause darlin go whoaoooooo whoawhoaohohoh,49,0.197734004,0.001754386,0.001754386,0.094160766,0.001754386,0.001754386,0.059068535,0.001754386,0.001754386,0.142742285,0.001754386,0.001754386,0.001754386,0.001754386,0.309616092,0.1738713,0.287338893,0.55526498,0.97590359,0.000168016,0.15704864,0.062633388,sadness,0.871428571
767,the flamingos,"music, maestro, please!",1959,pop,tonight mustn think music maestro tonight tonight forget need mister leader play melodies ragtime jazztime swing thing help ease pain solitude solitude bring like waltz play waltz dance divinely tonight mustn think memories swing tonight forget music music maestro maestro,40,0.002024292,0.002024292,0.002024292,0.241081177,0.002024292,0.002024292,0.002024292,0.217192848,0.002024292,0.371688065,0.002024292,0.047492564,0.002024292,0.002024292,0.094205263,0.002024292,0.240766815,0.603927903,0.807228722,0,0.2858615,0.323302189,music,0.871428571
768,dion & the belmonts,that's my desire,1959,pop,spend night rendezvous reminisce desire meet gypsies play café dance till break desire little glass wine gaze eye divine feel touch lips press hear whisper time desire hear whisper time desire desire,32,0.002024292,0.002024292,0.002024292,0.134903488,0.002024291,0.040654675,0.319198561,0.002024292,0.002024292,0.121966636,0.002024292,0.287609259,0.002024292,0.002024292,0.06935159,0.002024292,0.382649193,0.765248827,0.700802912,0,0.281739489,0.390371351,romantic,0.871428571
770,the clovers,fool fool fool,1959,pop,fool fool fool fall fool fool fool fall fool think time look doggone sweet walk street say go meat fool fool fool fall fool think forget darlin leave cold guess fool fool fool fall fool think,36,0.00150376,0.001503759,0.001503759,0.001503759,0.001503759,0.001503759,0.061993063,0.147636291,0.001503759,0.001503759,0.047203737,0.001503759,0.001503759,0.001503759,0.720610517,0.00150376,0.495288639,0.538599595,0.647590008,0,0.752679308,0.08255393,sadness,0.871428571
771,the clovers,all about you,1959,pop,try like ball like bottle like diddy bitch visit cause city blame hoe official like black white strip bitch call wife like twice watch nigga analyze right observe reach satelite heights fuck shit ciroc bottle table drink shit disrespect diddy hoe cameras bitch shootin expose kill momma dior shit juvi winner haters better fall bitch need billion dollars cash counterfeit simmons money tryin nigga rude group drop juvenile fruit juice pull like shoe deal fuck world ship try like ball like bottle like diddy bitch visit cause city blame hoe customize suit crocodile shoe elevate conversation nigga live like see dream cause translation imagination grin contract try pay home motherfucker swag wheez run like company like ivine know get money bitch gonna shit bitch fold life gonna course help open doors make money worry credit tire city chat like niggas like game tear mean telethon explain try like ball live bottle like diddy bitch visit cause city blame hoe,159,0.000506073,0.000506073,0.055966915,0.000506073,0.000506073,0.010718481,0.000506073,0.000506073,0.662341888,0.000506073,0.121242515,0.000506073,0.000506073,0.049406451,0.057665474,0.000506073,0.825625474,0.627618388,0.716867186,0,0.924773289,0.485469416,obscene,0.871428571
773,harry belafonte,the marching saints,1959,pop,money venezuela money venezuela dollars friends lose woman sell horse heya money venezuela everybody sing sing little louder money venezuela go round corner sing money venezuela money house plan ahey money venezuela everybody money venezuela go round corner money venezuela money inside stick pillow beneath head know money everybody money venezuela hooma locka chimba bring little water money venezuela women money venezuela everybody goin round corner bring little water money venezuela friends money go vain heya money venezuela everybody balockachimba money venezuela sing little softer money venezuela everybody sing money venezuela,91,0.000822368,0.031875724,0.000822368,0.000822368,0.054283573,0.096892692,0.000822368,0.000822368,0.416615062,0.109556571,0.257020849,0.000822368,0.000822368,0.000822368,0.000822368,0.000822369,0.473627207,0.57449427,0.705822998,0,0.570280297,0.423405416,obscene,0.871428571
776,neil sedaka,i must be dreaming,1959,pop,life believe true dream dream kiss lips wine dream feel heavenly good real afraid fast asleep dream dream time hold hand plan dream dream,24,0.00228833,0.00228833,0.48615083,0.00228833,0.00228833,0.00228833,0.345313124,0.00228833,0.00228833,0.00228833,0.00228833,0.00228833,0.00228833,0.00228833,0.00228833,0.131922774,0.416224412,0.720021537,0.584336932,0,0.548639736,0.472455997,world/life,0.871428571
778,ricky nelson,one minute to one,1959,pop,minute gottta home kiss sittin wishin hold tight reckon wait little long kiss tonight minute late kiss wonderful date minute movie great mamma gonna worry cause gettin late want tell reckon wait little long better minute late kiss wonderful date want know think nice reckon till tomorrow night kiss twice,50,0.00131579,0.001315789,0.00131579,0.406011626,0.001315789,0.108064278,0.198963709,0.00131579,0.160939528,0.00131579,0.00131579,0.001315789,0.015862262,0.00131579,0.001315789,0.001315789,0.599263511,0.629566956,0.645581973,0,0.957749382,0.528513803,night/time,0.871428571
780,connie francis,you alone,1959,pop,fascination know end right start pass glance brief romance go emptyhearted fascination know see moonlight touch hand moment kiss fascination turn fascination know see moonlight touch hand moment kiss fascination turn fascination,32,0.002192982,0.002192982,0.002192983,0.002192983,0.002192983,0.002192982,0.342940787,0.224088104,0.002192983,0.002192982,0.002192983,0.363589509,0.002192982,0.002192982,0.002192983,0.036486862,0.187696307,0.626259518,0.827309064,2.66E-05,0.159109646,0.187161801,romantic,0.871428571
781,esquivel!,all of me,1959,pop,come brush away fists tell know long lack carve strength bury fall push pull like machine like machine question mistake take things hate complain complain bleed light want away best believe want blind black hole glorify disguise drain strife stare star star bury bury bury bury fall,47,0.001503759,0.441917203,0.001503759,0.021616152,0.001503759,0.001503759,0.001503759,0.194114561,0.001503759,0.001503759,0.001503759,0.119284188,0.001503759,0.00150376,0.136116582,0.001503759,0.540777645,0.689716176,0.773092142,1.71E-05,0.751648805,0.599587094,violence,0.871428571
782,the platters,love in bloom,1959,pop,phase go addict attic flower grow bloom pattern listen dissonance hear static technicolor plastic mannequins surround magic cast spell hell sporadic telepathic tell tell habit sell single spark help ash phoenixbulimic acid raindances splatter canvas feel ecstatic enigmatic alabama wreak havoc declare true romance feast famine bipolar manic solar dynamics mecca holy sabbatical phase go devil head know special revel rebel fall star celestial dead make revenant mental mean detrimental tempo decorate deco bolder petals word turn boulders pebbles peddle past level tread slow forever breath go death throes sing praise echo sink fangs drain vessels mecca loneliest headstone phase go,101,0.001422475,0.301431147,0.001422475,0.001422475,0.001422475,0.001422475,0.001422475,0.253724458,0.001422475,0.080849048,0.001422475,0.150211473,0.001422475,0.001422475,0.001422475,0.132699193,0.310083397,0.547239956,0.960843334,0.002601215,0.170445177,0.184158704,violence,0.871428571
784,neil sedaka,all i need is you,1959,pop,need money need gold sweet kiss wealth untold need sky eye hold near matter dear need lose embrace world magic place hold church bell ring kiss angels sing need darling believe leave hold tight hold fast darling free moon need need need need,43,0.001315789,0.00131579,0.145021928,0.00131579,0.212920492,0.00131579,0.314790057,0.00131579,0.037990467,0.074464266,0.00131579,0.155460666,0.043562649,0.001315789,0.00131579,0.001315789,0.490956352,0.794092762,0.645581973,0,0.64653751,0.570557159,romantic,0.871428571
789,johnny mathis,tonight,1959,pop,tonight tonight night tonight morning tonight tonight tonight star stop today minutes like hours hours slowly light moon burn bright endless endless night tonight tonight,25,0.00228833,0.00228833,0.048277646,0.563192394,0.00228833,0.00228833,0.00228833,0.00228833,0.00228833,0.00228833,0.00228833,0.30746779,0.00228833,0.00228833,0.00228833,0.00228833,0.223437669,0.662000359,0.773092142,3.09E-05,0.283800495,0.437419867,night/time,0.871428571
790,johnny mathis,call me,1959,pop,arm lonely feel blue believe need darling come dream tumble help start anew believe need darling come thing look hopeless come change view spring farthest away change season want near believe need darling come want near believe need darling,39,0.091385246,0.001503759,0.336424975,0.001503759,0.096595837,0.00150376,0.217753025,0.001503759,0.001503759,0.078780869,0.001503759,0.001503759,0.001503759,0.00150376,0.081507209,0.021792833,0.249431387,0.660487655,0.757027869,0,0.384789777,0.494478706,world/life,0.871428571
794,neil sedaka,run samson run,1959,pop,bible thousand years story ancient history bout fella strong tell cheat bring tragedy time stay better start sooner trust hungry cheat heart demon demon devil disguise take take eye lady barber lary barber equip dollar gonna clip time stay better start sooner trust hungry cheat heart life perish perish roof fell moral moral listen little time stay better start sooner trust hungry cheat heart sooner trust hungry cheat heart,69,0.028200777,0.036708391,0.259125435,0.00122399,0.00122399,0.03003869,0.00122399,0.00122399,0.171495522,0.00122399,0.00122399,0.00122399,0.107557061,0.00122399,0.326376312,0.00122399,0.535362287,0.713816886,0.576304795,0,0.950535862,0.601589159,sadness,0.871428571
796,ricky nelson,half breed,1959,pop,pappy traitor mammy indian maid pappy traitor mammy indian maid know want halfbreed tomorrow sunrise better outta halfbreed trail halfbreed better halfbreed better better stand better stand long stand think straight long stand human bein good halfbreed trail halfbreed better halfbreed better better stand better stand,46,0.002024292,0.285072565,0.002024292,0.12869573,0.002024292,0.002024292,0.002024292,0.002024292,0.515245721,0.002024292,0.002024292,0.002024292,0.002024292,0.002024292,0.002024292,0.002024292,0.711902957,0.585416506,0.61947753,0,0.805234955,0.343322835,obscene,0.871428571
799,connie francis,i have but one heart,1959,pop,life anema core live anema core desire heart soul life star crown kneel pray hand open doors lead heaven heaven anema core life anema core live anema core desire heart soul life dream stand breathless pray hand open doors lead heaven heaven anema core,44,0.001879699,0.001879699,0.464403693,0.001879699,0.001879699,0.001879699,0.001879699,0.001879699,0.001879699,0.001879699,0.001879699,0.39161611,0.001879699,0.001879699,0.113905009,0.001879699,0.138958085,0.552495962,0.929718805,0.000319838,0.055441055,0.12910193,world/life,0.871428571
802,brenda lee,baby face,1959,pop,baby face cutest little baby face place baby face heart poor heart thumpin sure start somethin baby face heaven fond embrace need shove pretty baby face yeah baby face cut baby face heaven,33,0.356106857,0.001879699,0.001879699,0.001879699,0.064598885,0.088514176,0.001879699,0.001879699,0.001879699,0.001879699,0.001879699,0.105503324,0.001879699,0.001879699,0.358960969,0.001879699,0.69349074,0.674460939,0.611445393,0,0.921681781,0.697688256,sadness,0.871428571
804,the brothers four,sama kama wacky brown,1959,pop,koochy katcha kama tosa neera tosa noka sama kama wacky refrain koochy katcha kama tosa neera tosa noka sama kama wacky fell fell fell deep dark jones milkin fall inside tell sing refrain bakin cracklin bread call tell say sing refrain plow aside grab cane hobble cry sing refrain everybody come shame take long koochy katcha kama tosa neera tosa noka sama kama wacky drown,65,0.00228833,0.00228833,0.00228833,0.00228833,0.041954492,0.00228833,0.00228833,0.1122476,0.00228833,0.249630647,0.093864319,0.00228833,0.00228833,0.00228833,0.470266328,0.00228833,0.440051987,0.582698767,0.7530118,0,0.968054411,0.616604643,sadness,0.871428571
805,simon & garfunkel,the sound of silence,1959,pop,hello darkness friend come talk vision softly creep leave seed sleep vision plant brain remain sound silence restless dream walk narrow streets cobblestone neath halo street lamp turn collar cold damp eye stab flash neon light split night touch sound silence naked light thousand people maybe people talk speak people hear listen people write songs voice share dare disturb sound silence fool say know silence like cancer grow hear word teach arm reach word like silent raindrops fell echo silence people bow pray neon sign flash warn word form sign say word prophets write subway wall tenement halls whisper sound silence,101,0.00074129,0.311931057,0.00074129,0.00074129,0.00074129,0.00074129,0.00074129,0.15339353,0.00074129,0.159880248,0.00074129,0.249127658,0.115289449,0.00074129,0.00074129,0.00074129,0.392396837,0.555547009,0.219878735,1.39E-05,0.518755153,0.355335222,violence,0.871428571
809,neil sedaka,one way ticket,1959,pop,choo choo train chuggin track gotta travel comin ticket blue baby leavin lonely teardrops ticket blue gonna lonesome gonna stay heartbreak hotel fool cry tear choo choo train chuggin track gotta travel comin ticket blue woah ticket blue gonna lonesome gonna stay heartbreak hotel fool cry tear choo choo train chuggin track gotta travel comin ticket blue woah ticket blue woah ticket blue woah ticket blue woah ticket blue,69,0.027240071,0.001283697,0.001283697,0.001283697,0.001283697,0.001283697,0.001283697,0.001283697,0.087616111,0.332348724,0.001283697,0.001283697,0.001283697,0.001283697,0.200544104,0.001283697,0.609011156,0.761531164,0.540160181,0,0.913437758,0.759752257,music,0.871428571
812,dion & the belmonts,don't pity me,1959,pop,pity pity pity pity arm lose pity dream come true pity pity heart gonna break pity kiss pity pity plenty darlin want pity throw away till return pity pity plenty darlin want pity throw away till return pity pity pity,40,0.074653755,0.002392345,0.002392345,0.002392345,0.002392344,0.002392345,0.304370449,0.002392345,0.002392345,0.002392345,0.002392345,0.002392345,0.002392345,0.002392345,0.433776079,0.002392344,0.395646052,0.730866856,0.763051971,1.64E-05,0.348722176,0.418400254,sadness,0.871428571
813,harry belafonte,swing low,1959,pop,swing sweet comin home swing sweet comin home look comin home band angels comin comin home comin home tell friends come comin home comin home soul feel heavenly bind comin home,31,0.001697793,0.001697793,0.001697793,0.001697793,0.001697793,0.001697793,0.001697793,0.001697793,0.382605279,0.561177033,0.001697793,0.001697793,0.001697793,0.001697793,0.001697793,0.029053,0.156287231,0.504627849,0.951807181,0,0.016694147,0.260237157,music,0.871428571
